cgre_id,cgrl_primary_qty_post,cgrl_item_name1,cgrl_primary_qty_left,cdct_name,cplt_name,cgrl_primary_qty,cgre_organization_id,idv_document,cgre_created_by,s3key,cgre_document_id,cgre_movement_type,cdoc_pi_status,cdcs_name,cdoc_number,cgre_created_on,cdoc_notes,cwhs_code,cdoc_pi_date,cgre_document1,metadata_fecha_consulta
18446,4585.0,CANTO PVC INTRAPLAS BLANCO 19X0.45MM 240mxRollo,0.0,Entrada por orden de compra,Parque Industrial la Florida,4585,98,74993,pgaitan,515076,515076,101,01,Cerrado,515076,2025-09-05T10:46:11.278489,,1290,2025-09-05T13:55:21.361637,,2025-09-05 15:38:55
18445,3.0,FORMICA  LAMITECH  F6 GENERICA HETRE  1478  TEXTURA POSTFORMABLE  122X244,0.0,Entrada por orden de compra,Parque Metropolitano,3,98,75038,jtorres,515075,515075,101,01,Cerrado,515075,2025-09-05T10:38:23.558903,,1145,2025-09-05T14:36:38.076283,,2025-09-05 15:38:55
18444,195.0,MDF TABLEMAC LIGHT 183X244X09,0.0,Entrada por orden de compra,Parque Metropolitano,195,98,74716,jtorres,514985,514985,101,01,Cerrado,514985,2025-09-05T08:42:42.707262,,1145,2025-09-05T14:35:34.79365,,2025-09-05 15:38:55
18443,175.0,MELAMINICO  UNICOR MDF RH BLANCO NEVADO LISO 183X244X5.5  1C/ SIN BACKER,0.0,Entrada por orden de compra,Parque Metropolitano,175,98,74806,jtorres,514984,514984,101,01,Cerrado,514984,2025-09-05T08:40:47.764684,,1145,2025-09-05T14:36:16.046082,,2025-09-05 15:38:55
18442,350.0,MDF TABLEMAC LIGHT 183X244X09,1365.0,Entrada por orden de compra,Parque Metropolitano,1715,98,74645,jtorres,514983,514983,101,01,Cerrado,514983,2025-09-05T08:39:33.132935,,1145,2025-09-05T14:35:20.796204,,2025-09-05 15:38:55
18441,40.0,MELAMINICO SUPERCOR MDF RH VIENES TEX RUSTICK  183X244X15,0.0,Entrada por orden de compra,Parque Metropolitano,40,98,74542,jtorres,514982,514982,101,01,Cerrado,514982,2025-09-05T08:38:44.838639,,1145,2025-09-05T14:35:25.933347,,2025-09-05 15:38:55
18440,280.0,MDF TABLEMAC LIGHT 183X244X09,0.0,Entrada por orden de compra,Parque Metropolitano,280,98,74420,jtorres,514981,514981,101,01,Cerrado,514981,2025-09-05T08:37:37.182923,,1145,2025-09-05T14:36:44.283297,,2025-09-05 15:38:55
18439,20.0,MELAMINICO  SUPERCOR  PB  RH  VIENES     TEX RUSTICK  183X244X18,0.0,Entrada por orden de compra,Parque Metropolitano,20,98,74302,jtorres,514979,514979,101,01,Cerrado,514979,2025-09-05T08:36:34.55913,,1145,2025-09-05T14:36:40.251368,,2025-09-05 15:38:55
18438,1440.0,CANTO PVC INTRAPLAS ARENA 19X0.45MM 240mxRollo,0.0,Entrada por orden de compra,Parque Metropolitano,1440,98,74788,jtorres,514960,514960,101,01,Cerrado,514960,2025-09-05T08:29:56.128219,,1145,2025-09-05T14:36:13.737759,,2025-09-05 15:38:55
18437,55.0,AFIX KIT EXPRESS ACT 300ML CAJA X 300ML    Ref:406828,0.0,Entrada por orden de compra,Parque Metropolitano,55,98,74982,jtorres,514959,514959,101,01,Cerrado,514959,2025-09-05T08:27:33.465091,,1145,2025-09-05T14:36:34.243135,,2025-09-05 15:38:55
18436,670.0,CEMENTO GRIS ALION BULTO X 50kg,0.0,Entrada por orden de compra,Parque Metropolitano,670,98,74855,jtorres,514958,514958,101,01,Cerrado,514958,2025-09-05T08:21:18.723223,,1145,2025-09-05T09:15:14.847502,,2025-09-05 15:38:55
18435,95.0,ADAPTADOR PRESION HEMBRA DE 2     REF 2900724,0.0,Entrada por orden de compra,Parque Metropolitano,95,98,74894,jtorres,514957,514957,101,01,Cerrado,514957,2025-09-05T08:20:35.363339,,1145,2025-09-05T14:36:21.257778,,2025-09-05 15:38:55
18434,7.0,ADAPTADOR PRESION HEMBRA DE 2     REF 2900724,0.0,Entrada por orden de compra,Parque Metropolitano,7,98,74893,jtorres,514956,514956,101,01,Cerrado,514956,2025-09-05T08:19:54.779477,,1145,2025-09-05T14:36:17.826632,,2025-09-05 15:38:55
18433,8.0,ADAPTADOR MACHO 2'' CPVC SCH80 2906864,1.0,Entrada por orden de compra,Parque Metropolitano,9,98,74932,jtorres,514955,514955,101,01,Cerrado,514955,2025-09-05T08:19:22.798214,,1145,2025-09-05T14:36:24.697785,,2025-09-05 15:38:55
18432,6536.0,BUJE ROSCADO PRESION DE 1X3/4     REF 2900854,0.0,Entrada por orden de compra,Parque Metropolitano,6536,98,74937,jtorres,514953,514953,101,02,Cerrado,514953,2025-09-05T08:18:42.31142,,1145,2025-09-05T14:45:11.810183,,2025-09-05 15:38:55
18431,5.0,ALUMOL DE 16.0 KG,0.0,Entrada por regularizacion de inventario,Parque Metropolitano,5,98,,osantana,514945,514945,701,,Cerrado,514945,2025-09-05T07:57:44.634707,"SE REALIZA INGRESO PROVEEDOR ENVIA CAMBIO DE MERCANCIA 
",1145,,,2025-09-05 15:38:55
18430,154.0,LUBRICANTE PENETRANTE DE CRC X 180 GR,0.0,Entrada por orden de compra,Parque Industrial la Florida,154,98,74826,pgaitan,514867,514867,101,01,Cerrado,514867,2025-09-05T06:31:30.288947,,1290,2025-09-05T09:35:12.368142,,2025-09-05 15:38:55
18429,105.0,SACO DE FIBRA 55X80,0.0,Entrada por Devolucion,Parque Metropolitano,105,98,,losorio,514381,514381,103,,Cerrado,514381,2025-09-04T15:09:02.687274,SE CREA ENTRADA POR DEVOLUCION DE CLIENTE.,1145,,,2025-09-05 15:38:55
18428,2.0,PLASTICO NEGRO DE POLIETILENO CAL 6 X 6MTS X ROLLO 70 MTS,0.0,Entrada por orden de compra,Parque Metropolitano,2,98,75035,jtorres,514380,514380,101,01,Cerrado,514380,2025-09-04T15:01:47.319196,,1145,2025-09-04T15:55:21.900138,,2025-09-05 15:38:55
18427,4.0,PLASTICO NEGRO DE POLIETILENO CAL 6 X 6MTS X ROLLO 70 MTS,0.0,Entrada por orden de compra,Parque Metropolitano,4,98,75073,jtorres,514342,514342,101,,Abierto,514342,2025-09-04T14:13:12.621905,,1145,,,2025-09-05 15:38:55
18426,7.0,PLASTICO NEGRO DE POLIETILENO CAL 6 X 6MTS X ROLLO 70 MTS,0.0,Entrada por orden de compra,Parque Metropolitano,7,98,75025,jtorres,514341,514341,101,,Abierto,514341,2025-09-04T14:12:32.327743,,1145,,,2025-09-05 15:38:55
18425,6.0,VINILTEX BASE DEEP BLANCO 117176 CANECA 5 GALONES,0.0,Entrada por Devolucion,Parque Metropolitano,6,98,,losorio,514255,514255,103,,Cerrado,514255,2025-09-04T12:07:49.391112,SE CREA ENTRADA POR DEVOLUCION DE LA 71.,1145,,,2025-09-05 15:38:55
18424,670.0,CEMENTO GRIS ALION BULTO X 50kg,0.0,Entrada por orden de compra,Parque Metropolitano,670,98,74854,jtorres,514078,514078,101,01,Cerrado,514078,2025-09-04T10:53:47.556171,,1145,2025-09-04T11:35:15.968303,,2025-09-05 15:38:55
18423,339.0,PATA BASE CON NIVELADOR ACERO INOXIDABLE A 304 - 10 CMS,1.0,Entrada por orden de compra,Parque Industrial la Florida,340,98,74750,pgaitan,514076,514076,101,01,Cerrado,514076,2025-09-04T10:44:59.428285,,1290,2025-09-04T14:15:12.232158,,2025-09-05 15:38:55
18422,59.0,MANIJA CILINDRICA BAÑO EN ALUMINIO KL 902 B,0.0,Entrada por orden de compra,Parque Metropolitano,59,98,74844,jtorres,514075,514075,101,01,Cerrado,514075,2025-09-04T10:39:42.712138,,1145,2025-09-04T11:35:19.338503,,2025-09-05 15:38:55
18421,3.0,AGLOMERADO PRIMAPLEX 183XX244X30 PR18324430,60.0,Entrada por orden de compra,Parque Industrial la Florida,63,98,73576,pgaitan,514074,514074,101,01,Cerrado,514074,2025-09-04T10:33:17.821809,,1290,2025-09-04T14:05:15.291387,,2025-09-05 15:38:55
18420,20.0,AGLOMERADO PRIMAPLEX 183XX244X25 PR18324425,40.0,Entrada por orden de compra,Parque Industrial la Florida,60,98,73468,pgaitan,514073,514073,101,01,Cerrado,514073,2025-09-04T10:32:45.919159,,1290,2025-09-04T14:05:23.051985,,2025-09-05 15:38:55
18419,170.0,AGLOMERADO PRIMAPLEX 183XX244X18 PR18324418,0.0,Entrada por orden de compra,Parque Industrial la Florida,170,98,74430,pgaitan,514072,514072,101,01,Cerrado,514072,2025-09-04T10:32:10.363441,,1290,2025-09-04T14:05:36.624667,,2025-09-05 15:38:55
18418,50.0,AGLOMERADO PRIMAPLEX 183XX244X30 PR18324430,0.0,Entrada por orden de compra,Parque Industrial la Florida,50,98,74329,pgaitan,514071,514071,101,01,Cerrado,514071,2025-09-04T10:31:32.474505,,1290,2025-09-04T14:05:33.001322,,2025-09-05 15:38:55
18417,35.0,AGLOMERADO PRIMAPLEX 183XX244X18 PR18324418,0.0,Entrada por orden de compra,Parque Industrial la Florida,35,98,74109,pgaitan,514070,514070,101,01,Cerrado,514070,2025-09-04T10:30:50.614176,,1290,2025-09-04T14:05:29.832835,,2025-09-05 15:38:55
18416,60.0,AGLOMERADO PRIMAPLEX 183XX244X30 PR18324430,3.0,Entrada por orden de compra,Parque Industrial la Florida,63,98,73576,pgaitan,514059,514059,101,01,Cerrado,514059,2025-09-04T10:30:17.592144,,1290,2025-09-04T14:05:40.654345,,2025-09-05 15:38:55
18415,40.0,AGLOMERADO PRIMAPLEX 183XX244X25 PR18324425,20.0,Entrada por orden de compra,Parque Industrial la Florida,60,98,73468,pgaitan,514055,514055,101,01,Cerrado,514055,2025-09-04T10:29:41.879924,,1290,2025-09-04T14:05:26.323263,,2025-09-05 15:38:55
18414,60.0,AGLOMERADO PRIMAPLEX  122X244X25  1X1000125CR57,0.0,Entrada por orden de compra,Parque Industrial la Florida,60,98,73088,pgaitan,514054,514054,101,01,Cerrado,514054,2025-09-04T10:24:02.468312,,1290,2025-09-04T14:05:18.981209,,2025-09-05 15:38:55
18413,1.0,FORMICA LAMITECH F8 PALAZZO MATE POSTFORMABLE 122X244,0.0,Entrada por orden de compra,Parque Metropolitano,1,98,74590,jtorres,514040,514040,101,01,Cerrado,514040,2025-09-04T10:10:15.335708,,1145,2025-09-04T11:35:22.597849,,2025-09-05 15:38:55
18412,16.0,CINTA CERA RESINA 110 X 450MTRS,0.0,Entrada por orden de compra,Parque Metropolitano,16,98,74699,jtorres,514039,514039,101,01,Cerrado,514039,2025-09-04T10:09:21.140151,,1145,2025-09-04T11:35:12.934212,,2025-09-05 15:38:55
18411,590.0,CEMENTO GRIS ALION BULTO X 50kg,80.0,Entrada por orden de compra,Parque Metropolitano,670,98,74852,jtorres,514016,514016,101,01,Cerrado,514016,2025-09-04T09:31:11.908173,,1145,2025-09-04T10:25:14.768173,,2025-09-05 15:38:55
18410,670.0,CEMENTO GRIS ALION BULTO X 50kg,0.0,Entrada por orden de compra,Parque Metropolitano,670,98,74850,jtorres,513995,513995,101,01,Cerrado,513995,2025-09-04T09:01:56.656796,,1145,2025-09-04T10:25:11.888145,,2025-09-05 15:38:55
18409,6.0,SIKA BOOM AMARILLO  300 CC.,0.0,Entrada por orden de compra,Parque Metropolitano,6,98,75071,jtorres,513974,513974,101,01,Cerrado,513974,2025-09-04T08:32:17.593676,,1145,2025-09-04T11:25:27.651392,,2025-09-05 15:38:55
18408,18.0,SIKA BOOM AMARILLO  300 CC.,0.0,Entrada por orden de compra,Parque Metropolitano,18,98,75070,jtorres,513973,513973,101,01,Cerrado,513973,2025-09-04T08:31:41.532378,,1145,2025-09-04T11:25:31.052192,,2025-09-05 15:38:55
18407,71.0,SIKA 101 MORTERO PLUS GRIS X 50 KLS  T124465,0.0,Entrada por orden de compra,Parque Metropolitano,71,98,74947,jtorres,513972,513972,101,01,Cerrado,513972,2025-09-04T08:30:54.170539,,1145,2025-09-04T11:25:24.406999,,2025-09-05 15:38:55
18406,3.0,LAMINA ETERBOARD 2.44X1.22X20MM EB2440122020 1315700,0.0,Entrada por regularizacion de inventario,Parque Metropolitano,3,98,,osantana,513901,513901,701,,Cerrado,513901,2025-09-04T07:48:10.897015,SE REALZIA INRESO POR AJUSTE DE INVENTARIO CICLICO ,1145,,,2025-09-05 15:38:55
18405,,BISAGRA 3D SLOW MOTION CLIP ON  35MM PARCHE C/T 4H,,Factura de Reserva de Proveedor,Parque Industrial la Florida,25322,98,141468,pgaitan,513889,513889,101,,Abierto,513889,2025-09-04T07:19:44.004616,,1290,,,2025-09-05 15:38:55
