cdct_name,cidl_primary_qty_received,cidv_address,cidv_organization_id,cidv_primary_qty,cdcs_name,cdoc_created_by,cdoc_notes,basedoctype_number,cidv_document1,cdoc_date,cdoc_created_on,cidv_subtotal,ccit_name,cidv_taxes,cidv_id,csup_name1,cidv_lines,cidv_document_id,cdoc_number,csup_code1,cwhs_code,cidv_total,basedoctype_name,cidv_shipment_id,cidv_document2,metadata_fecha_consulta
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,47,Pendiente,system,,,,2025-09-04,2025-09-04T12:23:43.856861,3873369.0,BUCARAMANGA,735940.1100000001,20012,PINTUCO COLOMBIA S.A.S.,6,514258,75144,P-890900148,1145,4609309.109999999,,,,2025-09-05 15:39:11
Orden de Compra,0,AUT MEDELLIN KM 1.5 COSTADO SUR PAR INDUSTRIAL LA FLORIDA BG 26,98,960,Pendiente,system,,,,2025-09-04,2025-09-04T10:23:32.256162,449740.80000000005,BOGOTA D.C.,85450.75200000001,20011,INTRAPLAS SAS,1,514053,75143,P-860510099,1290,535191.552,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,2,Pendiente,system,,,,2025-09-04,2025-09-04T09:23:43.084659,167043.0,BUCARAMANGA,31738.170000000002,20010,PINTUCO COLOMBIA S.A.S.,2,514012,75141,P-890900148,1145,198781.17,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,6,Pendiente,system,,,,2025-09-04,2025-09-04T09:23:42.898119,1141920.0,BUCARAMANGA,216964.8,20009,LAMITECH S.A.S,1,514011,75140,P-860522056,1145,1358884.8,,,,2025-09-05 15:39:11
Orden de Compra,80,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,80,Cerrado,system,,,,2025-09-04,2025-09-04T03:23:48.765828,1477311.2,BUCARAMANGA,280689.128,20008,PEGANTES Y BOQUILLAS CERAMICOS S.A.S.,2,513810,75138,P-900856284,1145,1758000.328,,,,2025-09-05 15:39:11
Orden de Compra,0,AUT MEDELLIN KM 1.5 COSTADO SUR PAR INDUSTRIAL LA FLORIDA BG 26,98,285,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:48.585416,44714320.35,BOGOTA D.C.,8495720.8665,20007,PRIMADERA SAS,2,513809,75137,P-900520112,1290,53210041.21650001,,,,2025-09-05 15:39:11
Orden de Compra,0,AUT MEDELLIN KM 1.5 COSTADO SUR PAR INDUSTRIAL LA FLORIDA BG 26,98,364,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:48.261638,51906500.05,BOGOTA D.C.,9862235.009499999,20006,DEXCO ZONA FRANCA S.A.S,11,513808,75130,P-900338494,1290,61768735.0595,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,435,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:47.996984,35567942.55,BUCARAMANGA,6757909.084500001,20005,DEXCO ZONA FRANCA S.A.S,4,513807,75129,P-900338494,1145,42325851.634500004,,,,2025-09-05 15:39:11
Orden de Compra,0,AUT MEDELLIN KM 1.5 COSTADO SUR PAR INDUSTRIAL LA FLORIDA BG 26,98,1950,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:47.727095,963435.0,BOGOTA D.C.,183052.65,20004,REHAU S.A.S,6,513806,75124,P-900306527,1290,1146487.65,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,1410,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:47.493161,2228240.4,BUCARAMANGA,423365.676,20003,REHAU S.A.S,5,513805,75123,P-900306527,1145,2651606.076,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,21054,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:47.283825,1188300.0,BUCARAMANGA,225777.0,20002,DELTA GLOBAL S.A.S,4,513804,75122,P-900123683,1145,1414077.0,,,,2025-09-05 15:39:11
Orden de Compra,0,AUT MEDELLIN KM 1.5 COSTADO SUR PAR INDUSTRIAL LA FLORIDA BG 26,98,23,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:47.115919,515200.0,BOGOTA D.C.,97888.0,20001,BYCSA S.A,1,513803,75121,P-890906525,1290,613088.0,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,370,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:45.826528,35652765.14,BUCARAMANGA,6774025.376600002,20000,PINTUCO COLOMBIA S.A.S.,59,513802,75120,P-890900148,1145,42426790.51660002,,,,2025-09-05 15:39:11
Orden de Compra,0,AUT MEDELLIN KM 1.5 COSTADO SUR PAR INDUSTRIAL LA FLORIDA BG 26,98,600,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:45.583025,1403400.0,BOGOTA D.C.,266646.0,19999,INTRAPLAS SAS,3,513801,75115,P-860510099,1290,1670046.0,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,400,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:45.392026,921000.0,BUCARAMANGA,174990.0,19998,INTRAPLAS SAS,2,513800,75114,P-860510099,1145,1095990.0,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,8,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:45.203918,804000.0,BUCARAMANGA,152760.0,19997,A.ESCOBAR & CIA S.A.S,1,513799,75113,P-860079913,1145,956760.0,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,400,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:44.93575,510932.0,BUCARAMANGA,97077.08,19996,COMERCIALIZADORA CALYPSO S.A.,1,513798,75112,P-860075208,1145,608009.08,,,,2025-09-05 15:39:11
Orden de Compra,0,AUT MEDELLIN KM 1.5 COSTADO SUR PAR INDUSTRIAL LA FLORIDA BG 26,98,1300,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:44.757697,1702080.0,BOGOTA D.C.,323395.2,19995,INDUSTRIAS FUERTE LTDA.,2,513797,75111,P-860032300,1290,2025475.2,,,,2025-09-05 15:39:11
Orden de Compra,0,AUT MEDELLIN KM 1.5 COSTADO SUR PAR INDUSTRIAL LA FLORIDA BG 26,98,4,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:44.569858,792812.0,BOGOTA D.C.,150634.28,19994,PEGATEX ARTECOLA S.A.S,2,513796,75108,P-860006965,1290,943446.28,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,85,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:44.356577,1366049.0,BUCARAMANGA,259549.31,19993,PEGATEX ARTECOLA S.A.S,4,513795,75107,P-860006965,1145,1625598.31,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,100,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:44.192236,505000.0,BUCARAMANGA,95950.0,19992,UNIPERFILES SAS,1,513794,75106,P-830128046,1145,600950.0,,,,2025-09-05 15:39:11
Orden de Compra,0,AUT MEDELLIN KM 1.5 COSTADO SUR PAR INDUSTRIAL LA FLORIDA BG 26,98,284,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:43.966288,49998255.9,BOGOTA D.C.,9499668.621,19991,DEXCO COLOMBIA S.A.,5,513793,75099,P-800047031,1290,59497924.521,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,300,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:43.747717,49370230.0,BUCARAMANGA,9380343.700000001,19990,DEXCO COLOMBIA S.A.,4,513792,75098,P-800047031,1145,58750573.7,,,,2025-09-05 15:39:11
Orden de Compra,0,CR 17 AUT PALENQUE CHIMITA # 58-60 CENTRO LOGISTICO METROPOLITANO BOD 8 GIRON,98,2000,Pendiente,system,,,,2025-09-04,2025-09-04T03:23:43.575047,250000.0,BUCARAMANGA,47500.0,19989,EDGAR MAURICIO VASQUEZ MARQUEZ,1,513791,75097,P-13542269,1145,297500.0,,,,2025-09-05 15:39:11
